id,question,expected_route,gold_source,gold_keywords,gold_chunk_index,strict_gold_available,latency_ms,returned_hits,error,strict_rr,source_hit@1,max_keyword_coverage@1,strict_hit@1,source_hit@3,max_keyword_coverage@3,strict_hit@3,source_hit@5,max_keyword_coverage@5,strict_hit@5,rank1_filename,rank1_chunk_index,rank1_score,rank1_source_match,rank1_keyword_coverage,rank1_content_preview,rank2_filename,rank2_chunk_index,rank2_score,rank2_source_match,rank2_keyword_coverage,rank2_content_preview,rank3_filename,rank3_chunk_index,rank3_score,rank3_source_match,rank3_keyword_coverage,rank3_content_preview,rank4_filename,rank4_chunk_index,rank4_score,rank4_source_match,rank4_keyword_coverage,rank4_content_preview,rank5_filename,rank5_chunk_index,rank5_score,rank5_source_match,rank5_keyword_coverage,rank5_content_preview
1,这个平台整体融合了哪三类核心能力？,vector,agentic_rag_knowledge_base.txt,RAG 检索|知识图谱|Agent 工具调用,0,True,267548.353,5,,0.2,True,0.3333333333333333,False,True,0.6666666666666666,False,True,1.0,True,agentic_rag_knowledge_base.txt,11,-0.11788186283849567,True,0.3333,E 提供流式响应。SSE 让前端可以逐步接收回答内容和流程状态，而不是等待整个回答完成后一次性返回。当前前端还可以展示 Router、Vector/Graph Retrieval、Context Judge、Query Rewrite 和回答生成等流程信息，使用户能够看到一次问题处理经过了哪些步骤。---  ## 20.前端技术栈  前端使用 Vue 3、Vite、Pinia 和 ECharts。Vue 3 负责界面组件，Vite 负责,agentic_rag_knowledge_base.txt,15,-0.12460998502994114,True,0.6667,录包含 backend、frontend、docker-compose.yml 和 LICENSE。backend 是 FastAPI 后端，其中 app/api 负责接口路由，app/services 负责 RAG、知识图谱和 Agent 核心业务逻辑，app/utils 负责文档解析和切块。frontend 是 Vue 3 前端，其中 src/components 包含对话窗口、侧边栏和图谱可视化等组件，src/stores 用于 ,agentic_rag_knowledge_base.txt,17,-0.12960129190124658,True,0.0,答评测可以检查最终答案是否忠实于检索到的片段，以及引用来源是否与实际证据一致。---  ## 33.Retrieval Evaluation  Vector Retrieval 的核心评测指标可以包括 Hit@1、Hit@3、Hit@5 和 MRR。Hit@K 判断正确的 Gold Chunk 是否出现在前 K 个结果中。MRR 根据第一个正确结果的位置计算倒数排名，再对所有问题取平均。为了让这些指标有意义，知识库必须包含多个真实 ch,agentic_rag_knowledge_base.txt,18,-0.1443045458513852,True,0.0,判断关系类型是否命中；Triple Hit Rate 判断主体、关系、客体组成的完整三元组是否正确。对于图谱问题，Triple Hit Rate 比只检查文本相似度更能反映真正的结构化检索能力。---  ## 35.Query Rewrite Evaluation  Query Rewrite 可以通过“改写前检索”和“改写后检索”的差异评估。例如，可以比较原始查询的 Hit@3 与 rewritten query 的 Hit@3，并计,agentic_rag_knowledge_base.txt,0,-0.17015281105949298,True,1.0,# Agentic RAG Platform 检索评测知识库  > 用途：用于本项目的向量检索（Vector Retrieval）与后续 RAG 评测。> 原则：只记录 README 与当前项目已经实现、已经验证的功能；未提供的信息明确标记为“未提供”，不编造生产数据、用户规模、收入、云厂商、GPU 型号等事实。---  ## 1.项目定位  Agentic RAG Platform 是一个融合 RAG 检索、知识图谱和 Agent 工
2,这个项目为什么不只是一个单独的向量检索接口？,vector,agentic_rag_knowledge_base.txt,文档检索|知识图谱|Agent 路由|流式回答|Docker 部署,0,True,106.588,5,,1.0,True,1.0,True,True,1.0,True,True,1.0,True,agentic_rag_knowledge_base.txt,0,0.12453343675043038,True,1.0,# Agentic RAG Platform 检索评测知识库  > 用途：用于本项目的向量检索（Vector Retrieval）与后续 RAG 评测。> 原则：只记录 README 与当前项目已经实现、已经验证的功能；未提供的信息明确标记为“未提供”，不编造生产数据、用户规模、收入、云厂商、GPU 型号等事实。---  ## 1.项目定位  Agentic RAG Platform 是一个融合 RAG 检索、知识图谱和 Agent 工,agentic_rag_knowledge_base.txt,1,0.10662805533880926,True,0.0,ors/Yuxi 等开源项目的架构思路，但当前仓库是在此基础上独立设计和实现的。---  ## 2.文档上传与知识库构建  系统支持上传 PDF、Word 和 TXT 文档。文档进入后端后，会先被解析成文本，再进行切块。切块后的文本片段会被转换成向量表示，并写入 Chroma 向量数据库。当前向量库使用 Chroma。文本向量由 sentence-transformers 体系下的 bge-small-zh 模型生成。每一个文本块都会保,agentic_rag_knowledge_base.txt,10,0.06737142411703534,True,0.0,路线会提供图谱关系证据；HYBRID 会同时提供文本和图谱信息。最终回答生成需要关注正确性与忠实性。回答不能因为模型“知道一些通用常识”就脱离当前检索证据随意补充项目事实。---  ## 18.Safe Refusal  当知识库中没有足够证据时，系统应该避免编造答案。Safe Refusal 的目标是区分“没有检索到答案”和“答案就是否定”。如果项目文档没有提供某个事实，例如真实营业收入、付费用户数、线上 QPS、生产环境月账单或实际,agentic_rag_knowledge_base.txt,3,0.057575905472851074,True,0.0,all-zh 作为中文向量模型。文档入库时，系统对多个 chunks 批量计算 embedding；查询时，对用户问题计算 query embedding。Chroma 使用查询向量与已存储文档向量之间的距离进行排序，从而返回最相关的文本片段。Embedding 负责表示语义，但不负责最终回答。检索到的片段仍然需要交给后续上下文判断、回答生成或混合检索流程处理。---  ## 5.Chroma  Chroma 是项目中的向量数据库，负责,agentic_rag_knowledge_base.txt,2,0.037695928374401055,True,0.0,Chunk。当前项目默认切块参数为 chunk_size=500、chunk_overlap=50。也就是说，较长文本会被切成多个长度约 500 的片段，并在相邻片段之间保留一定重叠，减少边界位置的信息丢失。检索时，系统不会直接只取 top_k 个候选，而是先从 Chroma 中获取更多候选，再基于 filename 和 chunk_index 去重，最后保留真正的 Top-K 唯一结果。这样可以避免历史重复数据或重复 chunk 占满
3,知识库上传目前支持哪些文档格式？,vector,agentic_rag_knowledge_base.txt,PDF|Word|TXT,1,True,78.084,5,,1.0,True,1.0,True,True,1.0,True,True,1.0,True,agentic_rag_knowledge_base.txt,1,0.29443925012351957,True,1.0,ors/Yuxi 等开源项目的架构思路，但当前仓库是在此基础上独立设计和实现的。---  ## 2.文档上传与知识库构建  系统支持上传 PDF、Word 和 TXT 文档。文档进入后端后，会先被解析成文本，再进行切块。切块后的文本片段会被转换成向量表示，并写入 Chroma 向量数据库。当前向量库使用 Chroma。文本向量由 sentence-transformers 体系下的 bge-small-zh 模型生成。每一个文本块都会保,agentic_rag_knowledge_base.txt,0,0.17189281767189213,True,0.0,# Agentic RAG Platform 检索评测知识库  > 用途：用于本项目的向量检索（Vector Retrieval）与后续 RAG 评测。> 原则：只记录 README 与当前项目已经实现、已经验证的功能；未提供的信息明确标记为“未提供”，不编造生产数据、用户规模、收入、云厂商、GPU 型号等事实。---  ## 1.项目定位  Agentic RAG Platform 是一个融合 RAG 检索、知识图谱和 Agent 工,agentic_rag_knowledge_base.txt,6,0.1240923959863004,True,0.0,Parser 用于识别用户真正想使用哪种证据，而不是只看问题中是否出现“文档”“图谱”等单个关键词。例如，“只根据 README 回答”应该路由到 VECTOR；“只沿 Neo4j 关系查”应该路由到 GRAPH；“先查 README，再沿 Neo4j 验证”则应该路由到 HYBRID。双证据表达还包括“文档内容与关系路径两个角度”“文字证据负责说明功能，图谱证据负责说明上下游”“别只看文档，也别只看图谱，两边都用”等自然语言形式。--,agentic_rag_knowledge_base.txt,3,0.11114269517414055,True,0.0,all-zh 作为中文向量模型。文档入库时，系统对多个 chunks 批量计算 embedding；查询时，对用户问题计算 query embedding。Chroma 使用查询向量与已存储文档向量之间的距离进行排序，从而返回最相关的文本片段。Embedding 负责表示语义，但不负责最终回答。检索到的片段仍然需要交给后续上下文判断、回答生成或混合检索流程处理。---  ## 5.Chroma  Chroma 是项目中的向量数据库，负责,agentic_rag_knowledge_base.txt,10,0.06594933809271863,True,0.0,路线会提供图谱关系证据；HYBRID 会同时提供文本和图谱信息。最终回答生成需要关注正确性与忠实性。回答不能因为模型“知道一些通用常识”就脱离当前检索证据随意补充项目事实。---  ## 18.Safe Refusal  当知识库中没有足够证据时，系统应该避免编造答案。Safe Refusal 的目标是区分“没有检索到答案”和“答案就是否定”。如果项目文档没有提供某个事实，例如真实营业收入、付费用户数、线上 QPS、生产环境月账单或实际
4,同名文件再次上传时，向量库如何避免旧数据重复累积？,vector,agentic_rag_knowledge_base.txt,先对新文本计算 embedding|删除 Chroma 中同名文件对应的旧 chunks|写入新版本,1,True,76.333,5,,1.0,True,1.0,True,True,1.0,True,True,1.0,True,agentic_rag_knowledge_base.txt,1,0.3020871888433312,True,1.0,ors/Yuxi 等开源项目的架构思路，但当前仓库是在此基础上独立设计和实现的。---  ## 2.文档上传与知识库构建  系统支持上传 PDF、Word 和 TXT 文档。文档进入后端后，会先被解析成文本，再进行切块。切块后的文本片段会被转换成向量表示，并写入 Chroma 向量数据库。当前向量库使用 Chroma。文本向量由 sentence-transformers 体系下的 bge-small-zh 模型生成。每一个文本块都会保,agentic_rag_knowledge_base.txt,3,0.23300271137197603,True,0.0,all-zh 作为中文向量模型。文档入库时，系统对多个 chunks 批量计算 embedding；查询时，对用户问题计算 query embedding。Chroma 使用查询向量与已存储文档向量之间的距离进行排序，从而返回最相关的文本片段。Embedding 负责表示语义，但不负责最终回答。检索到的片段仍然需要交给后续上下文判断、回答生成或混合检索流程处理。---  ## 5.Chroma  Chroma 是项目中的向量数据库，负责,agentic_rag_knowledge_base.txt,6,0.16327791994658214,True,0.0,Parser 用于识别用户真正想使用哪种证据，而不是只看问题中是否出现“文档”“图谱”等单个关键词。例如，“只根据 README 回答”应该路由到 VECTOR；“只沿 Neo4j 关系查”应该路由到 GRAPH；“先查 README，再沿 Neo4j 验证”则应该路由到 HYBRID。双证据表达还包括“文档内容与关系路径两个角度”“文字证据负责说明功能，图谱证据负责说明上下游”“别只看文档，也别只看图谱，两边都用”等自然语言形式。--,agentic_rag_knowledge_base.txt,12,0.12462574306202945,True,0.0,ry Rewrite、Context Judge 和检索服务都位于后端逻辑中。---  ## 22.SQLite  项目使用 SQLite 保存会话相关数据。SQLite 与 Chroma 和 Neo4j 承担不同职责。Chroma 负责向量知识库，Neo4j 负责实体关系图谱，SQLite 用于会话存储。---  ## 23.LLM  项目使用 DeepSeek API，并通过 OpenAI 兼容接口调用。LLM 用于回答生成，也用于,agentic_rag_knowledge_base.txt,4,0.12070337900965689,True,0.0,e + chunk_index 对结果去重。这两层机制分别解决“入库重复”和“检索结果重复”的问题。---  ## 6.基础 RAG 问答流程  项目第一阶段实现的是基础 RAG：文档解析、文本切块、向量化、向量检索和带引用回答。用户提交问题后，系统会根据问题检索相关知识库片段。检索结果作为上下文证据提供给大语言模型，大语言模型基于这些证据组织最终回答。回答需要尽可能保持与检索证据一致，并提供来源信息。RAG 的价值在于让回答不仅依赖模
5,当前文本切块的 chunk_size 和 chunk_overlap 分别是多少？,vector,agentic_rag_knowledge_base.txt,chunk_size=500|chunk_overlap=50,2,True,73.984,5,,1.0,True,1.0,True,True,1.0,True,True,1.0,True,agentic_rag_knowledge_base.txt,2,0.29892394984618265,True,1.0,Chunk。当前项目默认切块参数为 chunk_size=500、chunk_overlap=50。也就是说，较长文本会被切成多个长度约 500 的片段，并在相邻片段之间保留一定重叠，减少边界位置的信息丢失。检索时，系统不会直接只取 top_k 个候选，而是先从 Chroma 中获取更多候选，再基于 filename 和 chunk_index 去重，最后保留真正的 Top-K 唯一结果。这样可以避免历史重复数据或重复 chunk 占满,agentic_rag_knowledge_base.txt,1,0.2647503662527225,True,1.0,ors/Yuxi 等开源项目的架构思路，但当前仓库是在此基础上独立设计和实现的。---  ## 2.文档上传与知识库构建  系统支持上传 PDF、Word 和 TXT 文档。文档进入后端后，会先被解析成文本，再进行切块。切块后的文本片段会被转换成向量表示，并写入 Chroma 向量数据库。当前向量库使用 Chroma。文本向量由 sentence-transformers 体系下的 bge-small-zh 模型生成。每一个文本块都会保,agentic_rag_knowledge_base.txt,3,0.151058813611206,True,0.0,all-zh 作为中文向量模型。文档入库时，系统对多个 chunks 批量计算 embedding；查询时，对用户问题计算 query embedding。Chroma 使用查询向量与已存储文档向量之间的距离进行排序，从而返回最相关的文本片段。Embedding 负责表示语义，但不负责最终回答。检索到的片段仍然需要交给后续上下文判断、回答生成或混合检索流程处理。---  ## 5.Chroma  Chroma 是项目中的向量数据库，负责,agentic_rag_knowledge_base.txt,4,-0.032554717143860046,True,0.0,e + chunk_index 对结果去重。这两层机制分别解决“入库重复”和“检索结果重复”的问题。---  ## 6.基础 RAG 问答流程  项目第一阶段实现的是基础 RAG：文档解析、文本切块、向量化、向量检索和带引用回答。用户提交问题后，系统会根据问题检索相关知识库片段。检索结果作为上下文证据提供给大语言模型，大语言模型基于这些证据组织最终回答。回答需要尽可能保持与检索证据一致，并提供来源信息。RAG 的价值在于让回答不仅依赖模,agentic_rag_knowledge_base.txt,18,-0.05974179307184535,True,0.0,判断关系类型是否命中；Triple Hit Rate 判断主体、关系、客体组成的完整三元组是否正确。对于图谱问题，Triple Hit Rate 比只检查文本相似度更能反映真正的结构化检索能力。---  ## 35.Query Rewrite Evaluation  Query Rewrite 可以通过“改写前检索”和“改写后检索”的差异评估。例如，可以比较原始查询的 Hit@3 与 rewritten query 的 Hit@3，并计
6,为什么向量检索不是直接只取 top_k 个 Chroma 结果？,vector,agentic_rag_knowledge_base.txt,先从 Chroma 中获取更多候选|filename 和 chunk_index 去重|Top-K 唯一结果,2,True,70.528,5,,0.5,True,0.0,False,True,1.0,True,True,1.0,True,agentic_rag_knowledge_base.txt,3,0.24423308919017728,True,0.0,all-zh 作为中文向量模型。文档入库时，系统对多个 chunks 批量计算 embedding；查询时，对用户问题计算 query embedding。Chroma 使用查询向量与已存储文档向量之间的距离进行排序，从而返回最相关的文本片段。Embedding 负责表示语义，但不负责最终回答。检索到的片段仍然需要交给后续上下文判断、回答生成或混合检索流程处理。---  ## 5.Chroma  Chroma 是项目中的向量数据库，负责,agentic_rag_knowledge_base.txt,2,0.2150315069594343,True,1.0,Chunk。当前项目默认切块参数为 chunk_size=500、chunk_overlap=50。也就是说，较长文本会被切成多个长度约 500 的片段，并在相邻片段之间保留一定重叠，减少边界位置的信息丢失。检索时，系统不会直接只取 top_k 个候选，而是先从 Chroma 中获取更多候选，再基于 filename 和 chunk_index 去重，最后保留真正的 Top-K 唯一结果。这样可以避免历史重复数据或重复 chunk 占满,agentic_rag_knowledge_base.txt,17,0.14519085797013076,True,0.0,答评测可以检查最终答案是否忠实于检索到的片段，以及引用来源是否与实际证据一致。---  ## 33.Retrieval Evaluation  Vector Retrieval 的核心评测指标可以包括 Hit@1、Hit@3、Hit@5 和 MRR。Hit@K 判断正确的 Gold Chunk 是否出现在前 K 个结果中。MRR 根据第一个正确结果的位置计算倒数排名，再对所有问题取平均。为了让这些指标有意义，知识库必须包含多个真实 ch,agentic_rag_knowledge_base.txt,4,0.14310122607317954,True,0.0,e + chunk_index 对结果去重。这两层机制分别解决“入库重复”和“检索结果重复”的问题。---  ## 6.基础 RAG 问答流程  项目第一阶段实现的是基础 RAG：文档解析、文本切块、向量化、向量检索和带引用回答。用户提交问题后，系统会根据问题检索相关知识库片段。检索结果作为上下文证据提供给大语言模型，大语言模型基于这些证据组织最终回答。回答需要尽可能保持与检索证据一致，并提供来源信息。RAG 的价值在于让回答不仅依赖模,agentic_rag_knowledge_base.txt,18,0.13695568058860763,True,0.0,判断关系类型是否命中；Triple Hit Rate 判断主体、关系、客体组成的完整三元组是否正确。对于图谱问题，Triple Hit Rate 比只检查文本相似度更能反映真正的结构化检索能力。---  ## 35.Query Rewrite Evaluation  Query Rewrite 可以通过“改写前检索”和“改写后检索”的差异评估。例如，可以比较原始查询的 Hit@3 与 rewritten query 的 Hit@3，并计
7,Chroma 当前使用的 collection 名称是什么？,vector,agentic_rag_knowledge_base.txt,collection 名称为 documents,3,True,82.405,5,,0.5,True,0.0,False,True,1.0,True,True,1.0,True,agentic_rag_knowledge_base.txt,12,0.05563238682236615,True,0.0,ry Rewrite、Context Judge 和检索服务都位于后端逻辑中。---  ## 22.SQLite  项目使用 SQLite 保存会话相关数据。SQLite 与 Chroma 和 Neo4j 承担不同职责。Chroma 负责向量知识库，Neo4j 负责实体关系图谱，SQLite 用于会话存储。---  ## 23.LLM  项目使用 DeepSeek API，并通过 OpenAI 兼容接口调用。LLM 用于回答生成，也用于,agentic_rag_knowledge_base.txt,3,0.007629926886203675,True,1.0,all-zh 作为中文向量模型。文档入库时，系统对多个 chunks 批量计算 embedding；查询时，对用户问题计算 query embedding。Chroma 使用查询向量与已存储文档向量之间的距离进行排序，从而返回最相关的文本片段。Embedding 负责表示语义，但不负责最终回答。检索到的片段仍然需要交给后续上下文判断、回答生成或混合检索流程处理。---  ## 5.Chroma  Chroma 是项目中的向量数据库，负责,agentic_rag_knowledge_base.txt,8,-0.010162597684229002,True,0.0,，直接图谱边往往比单纯文本段落更精确。---  ## 13.Neo4j  项目使用 Neo4j 5.24 作为知识图谱数据库，并通过 Cypher 查询图结构。文档上传阶段会抽取实体关系，并将这些实体和关系组织成图谱。问答阶段可以根据问题查找相关节点和边。Neo4j 适合保存明确关系，例如组件之间的依赖、流程上下游、实体属性关系和概念之间的连接。它与 Chroma 的职责不同：Chroma 更擅长文本语义相似度，Neo4j 更擅长结构化,agentic_rag_knowledge_base.txt,1,-0.05067340940430065,True,0.0,ors/Yuxi 等开源项目的架构思路，但当前仓库是在此基础上独立设计和实现的。---  ## 2.文档上传与知识库构建  系统支持上传 PDF、Word 和 TXT 文档。文档进入后端后，会先被解析成文本，再进行切块。切块后的文本片段会被转换成向量表示，并写入 Chroma 向量数据库。当前向量库使用 Chroma。文本向量由 sentence-transformers 体系下的 bge-small-zh 模型生成。每一个文本块都会保,agentic_rag_knowledge_base.txt,6,-0.05856545890200815,True,0.0,Parser 用于识别用户真正想使用哪种证据，而不是只看问题中是否出现“文档”“图谱”等单个关键词。例如，“只根据 README 回答”应该路由到 VECTOR；“只沿 Neo4j 关系查”应该路由到 GRAPH；“先查 README，再沿 Neo4j 验证”则应该路由到 HYBRID。双证据表达还包括“文档内容与关系路径两个角度”“文字证据负责说明功能，图谱证据负责说明上下游”“别只看文档，也别只看图谱，两边都用”等自然语言形式。--
8,Chroma 中每个 chunk 会保存哪些关键元数据？,vector,agentic_rag_knowledge_base.txt,filename|doc_id|chunk_index,3,True,93.093,5,,1.0,True,1.0,True,True,1.0,True,True,1.0,True,agentic_rag_knowledge_base.txt,3,0.30072620037943754,True,1.0,all-zh 作为中文向量模型。文档入库时，系统对多个 chunks 批量计算 embedding；查询时，对用户问题计算 query embedding。Chroma 使用查询向量与已存储文档向量之间的距离进行排序，从而返回最相关的文本片段。Embedding 负责表示语义，但不负责最终回答。检索到的片段仍然需要交给后续上下文判断、回答生成或混合检索流程处理。---  ## 5.Chroma  Chroma 是项目中的向量数据库，负责,agentic_rag_knowledge_base.txt,2,0.28365225467459254,True,1.0,Chunk。当前项目默认切块参数为 chunk_size=500、chunk_overlap=50。也就是说，较长文本会被切成多个长度约 500 的片段，并在相邻片段之间保留一定重叠，减少边界位置的信息丢失。检索时，系统不会直接只取 top_k 个候选，而是先从 Chroma 中获取更多候选，再基于 filename 和 chunk_index 去重，最后保留真正的 Top-K 唯一结果。这样可以避免历史重复数据或重复 chunk 占满,agentic_rag_knowledge_base.txt,1,0.2655904622374975,True,0.3333,ors/Yuxi 等开源项目的架构思路，但当前仓库是在此基础上独立设计和实现的。---  ## 2.文档上传与知识库构建  系统支持上传 PDF、Word 和 TXT 文档。文档进入后端后，会先被解析成文本，再进行切块。切块后的文本片段会被转换成向量表示，并写入 Chroma 向量数据库。当前向量库使用 Chroma。文本向量由 sentence-transformers 体系下的 bge-small-zh 模型生成。每一个文本块都会保,agentic_rag_knowledge_base.txt,6,0.14156805754475965,True,0.0,Parser 用于识别用户真正想使用哪种证据，而不是只看问题中是否出现“文档”“图谱”等单个关键词。例如，“只根据 README 回答”应该路由到 VECTOR；“只沿 Neo4j 关系查”应该路由到 GRAPH；“先查 README，再沿 Neo4j 验证”则应该路由到 HYBRID。双证据表达还包括“文档内容与关系路径两个角度”“文字证据负责说明功能，图谱证据负责说明上下游”“别只看文档，也别只看图谱，两边都用”等自然语言形式。--,agentic_rag_knowledge_base.txt,12,0.13641189269764908,True,0.0,ry Rewrite、Context Judge 和检索服务都位于后端逻辑中。---  ## 22.SQLite  项目使用 SQLite 保存会话相关数据。SQLite 与 Chroma 和 Neo4j 承担不同职责。Chroma 负责向量知识库，Neo4j 负责实体关系图谱，SQLite 用于会话存储。---  ## 23.LLM  项目使用 DeepSeek API，并通过 OpenAI 兼容接口调用。LLM 用于回答生成，也用于
9,基础 RAG 第一阶段包含哪些主要步骤？,vector,agentic_rag_knowledge_base.txt,文档解析|文本切块|向量化|向量检索|带引用回答,4,True,94.824,5,,1.0,True,1.0,True,True,1.0,True,True,1.0,True,agentic_rag_knowledge_base.txt,4,0.2194125760433936,True,1.0,e + chunk_index 对结果去重。这两层机制分别解决“入库重复”和“检索结果重复”的问题。---  ## 6.基础 RAG 问答流程  项目第一阶段实现的是基础 RAG：文档解析、文本切块、向量化、向量检索和带引用回答。用户提交问题后，系统会根据问题检索相关知识库片段。检索结果作为上下文证据提供给大语言模型，大语言模型基于这些证据组织最终回答。回答需要尽可能保持与检索证据一致，并提供来源信息。RAG 的价值在于让回答不仅依赖模,agentic_rag_knowledge_base.txt,20,0.03298030105164973,True,0.0,n Set。新的独立泛化成绩必须在模型或规则冻结后，用从未参与调参的新 Holdout 只测试一次。同样的原则也适用于 Retrieval Evaluation：Gold Chunk 应该先标注，再运行正式检索评测，避免用模型自己的检索结果反向定义正确答案。---  ## 39.项目状态  README 标记当前项目状态为 All Phases Complete。项目已经完成基础 RAG、Vue 前端、知识图谱融合、Agent 工具调用,agentic_rag_knowledge_base.txt,15,0.03158991185503568,True,0.6,录包含 backend、frontend、docker-compose.yml 和 LICENSE。backend 是 FastAPI 后端，其中 app/api 负责接口路由，app/services 负责 RAG、知识图谱和 Agent 核心业务逻辑，app/utils 负责文档解析和切块。frontend 是 Vue 3 前端，其中 src/components 包含对话窗口、侧边栏和图谱可视化等组件，src/stores 用于 ,agentic_rag_knowledge_base.txt,0,0.030123491198498886,True,0.4,# Agentic RAG Platform 检索评测知识库  > 用途：用于本项目的向量检索（Vector Retrieval）与后续 RAG 评测。> 原则：只记录 README 与当前项目已经实现、已经验证的功能；未提供的信息明确标记为“未提供”，不编造生产数据、用户规模、收入、云厂商、GPU 型号等事实。---  ## 1.项目定位  Agentic RAG Platform 是一个融合 RAG 检索、知识图谱和 Agent 工,agentic_rag_knowledge_base.txt,16,-0.0008785464439480251,True,0.2,---  ## 30.Agent 工具调用  Agent 模式允许模型根据任务判断是否需要调用工具。README 明确提到的 Agent 能力包括：检索知识库、联网搜索以及生成可下载的报告文件。Agent 工具调用与普通 RAG 的区别是，普通 RAG 主要围绕知识库证据回答，而 Agent 模式可以根据任务决定是否执行额外动作。---  ## 31.联网搜索  README 表明 Agent 模式支持联网搜索。SERPER_API_K
10,VECTOR 路线主要适合什么类型的问题？,vector,agentic_rag_knowledge_base.txt,VECTOR|文档文本证据|定义|事实|配置,4,True,99.739,5,,0.3333333333333333,True,0.6,False,True,1.0,True,True,1.0,True,agentic_rag_knowledge_base.txt,9,0.1326336742927121,True,0.6,Graph Retrieval。它适合需要两类证据的问题：文本片段用于解释定义、背景、配置或机制；图谱用于说明实体连接、依赖、上下游或关系路径。HYBRID 并不是“问题复杂就自动使用”。如果用户只是问两个实体之间的关系，即使可以用文字解释，也优先 GRAPH。只有用户明确需要文本证据和图谱证据共同完成回答时，才应该选择 HYBRID。---  ## 16.DIRECT 路线  DIRECT 用于不依赖项目知识库的信息处理任务。典型 D,agentic_rag_knowledge_base.txt,5,0.09558730201502974,True,0.4,连接、依赖、上下游、归属、关系标签、流向和关系路径。HYBRID：同时需要文本证据与图谱关系的问题。只有用户明确要求结合文档/文字证据和图谱/Neo4j 关系时，才应该进入 HYBRID。---  ## 8.Router 的决策结构  当前 Router 不是单纯把所有问题都交给 LLM 判断，而是采用分层决策。第一层是 Evidence Source Parser，用来识别“只看文档”“只看图谱”“文档和图谱都要”等明确证据源需求。第,agentic_rag_knowledge_base.txt,4,0.08592600809920548,True,1.0,e + chunk_index 对结果去重。这两层机制分别解决“入库重复”和“检索结果重复”的问题。---  ## 6.基础 RAG 问答流程  项目第一阶段实现的是基础 RAG：文档解析、文本切块、向量化、向量检索和带引用回答。用户提交问题后，系统会根据问题检索相关知识库片段。检索结果作为上下文证据提供给大语言模型，大语言模型基于这些证据组织最终回答。回答需要尽可能保持与检索证据一致，并提供来源信息。RAG 的价值在于让回答不仅依赖模,agentic_rag_knowledge_base.txt,11,0.07499654523671895,True,0.2,E 提供流式响应。SSE 让前端可以逐步接收回答内容和流程状态，而不是等待整个回答完成后一次性返回。当前前端还可以展示 Router、Vector/Graph Retrieval、Context Judge、Query Rewrite 和回答生成等流程信息，使用户能够看到一次问题处理经过了哪些步骤。---  ## 20.前端技术栈  前端使用 Vue 3、Vite、Pinia 和 ECharts。Vue 3 负责界面组件，Vite 负责,agentic_rag_knowledge_base.txt,10,0.05214771767628612,True,0.2,路线会提供图谱关系证据；HYBRID 会同时提供文本和图谱信息。最终回答生成需要关注正确性与忠实性。回答不能因为模型“知道一些通用常识”就脱离当前检索证据随意补充项目事实。---  ## 18.Safe Refusal  当知识库中没有足够证据时，系统应该避免编造答案。Safe Refusal 的目标是区分“没有检索到答案”和“答案就是否定”。如果项目文档没有提供某个事实，例如真实营业收入、付费用户数、线上 QPS、生产环境月账单或实际
